county,#tree
New Hanover,2
Durham,5
Brunswick,2
Mecklenburg,4
Pender,5
New Hanover,3
Onslow,1
New Hanover,2
Sampson,2
Durham,5
Chatham,4
Moore,4
Chatham,3
Lee,1
Moore,4
Chatham,1
Lee,1
Wake,2
Durham,1
Lee,10
Nash,3
Wake,3
Wake,1
Moore,2
Wake,2
Lee,2
Wake,1
Lee,2
Person,7
Lee,3
Lee,1
Lee,3
Harnett,3
Moore,1
Moore,1
Orange,3
Johnston,5
Lee,3
Moore,5
Mecklenburg,2
Lee,3
Harnett,1
Lee,4
Wake,2
Lee,5
Davidson,5
Chatham,1
Moore,1
Lee,3
Union,5
Wake,1
Moore,5
Lee,5
Moore,5
Wake,2
Moore,1
Lee,1
Lee,5
Vance,1
Moore,2
Durham,2
Lee,2
Moore,5
Cabarrus,1
Cumberland,6
Harnett,1
Wake,1
Wake,2
Durham,2
Lee,5
Moore,3
Harnett,5
Lee,5
Lee,5
Lee,5
Wake,5
Forsyth,1
Forsyth,1
Lee,2
,5
,1
,1
,1
Catawba,3
Mecklenburg,2
Rutherford,5
Rutherford,5
Rutherford,4
McDowell,3
Rutherford,5
Catawba,2
Rutherford,1
Rutherford,1
Rutherford,5
Henderson,5
Rutherford,1
Rutherford,3
Buncombe,5
Rutherford,2
Iredell,1
Rutherford,2
Henderson,3
Rutherford,1
Rutherford,5
Rutherford,5
Rutherford,2
Rutherford,5
Rutherford,1
Rutherford,2
Rutherford,2
Rutherford,5
Rutherford,1
Catawba,5
Caldwell,5
Alexander,5
Alexander,1
Alexander,5
Iredell,1
Lincoln,5
Burke,3
Guilford,1
Wilkes,5
Catawba,5
Mitchell,1
Alexander,5
Caldwell,5
Catawba,2
Catawba,2
Catawba,4
Catawba,5
Catawba,5
Iredell,1
Catawba,5
Catawba,5
Catawba,5
Catawba,5
Catawba,5
Catawba,2
Catawba,5
Iredell,5
Caldwell,1
Catawba,3
Lincoln,3
Catawba,4
Iredell,5
Lincoln,5
Catawba,5
Catawba,4
Catawba,2
Alexander,2
Iredell,4
Gaston,4
Burke,5
Burke,1
Catawba,5
Ashe,3
Rockingham,3
Catawba,1
Lincoln,2
Catawba,2
Catawba,1
Catawba,5
Catawba,5
Union,5
